,WijkenEnBuurten,SoortRegio,AantalInwoners,Mannen,Vrouwen,k_0Tot15Jaar,k_15Tot25Jaar,k_25Tot45Jaar,k_45Tot65Jaar,k_65JaarOfOuder,Ongehuwd,Gehuwd,Gescheiden,Verweduwd,WestersTotaal,NietWestersTotaal,GeboorteRelatief,SterfteRelatief,HuishoudensTotaal,Eenpersoonshuishoudens,HuishoudensZonderKinderen,HuishoudensMetKinderen,GemiddeldeHuishoudensgrootte,Bevolkingsdichtheid,Woningvoorraad,GemiddeldeWoningwaarde,PercentageEengezinswoning,PercentageMeergezinswoning,PercentageBewoond,Koopwoningen,HuurwoningenTotaal,InBezitWoningcorporatie,InBezitOverigeVerhuurders,BouwjaarVoor2000,BouwjaarVanaf2000,GemiddeldElektriciteitsverbruikTotaal,Appartement,Appartement1,Tussenwoning,Tussenwoning1,Hoekwoning,Hoekwoning1,TweeOnderEenKapWoning,TweeOnderEenKapWoning1,VrijstaandeWoning,VrijstaandeWoning1,Huurwoning,Huurwoning1,GemiddeldAardgasverbruikTotaal,AantalInkomensontvangers,GemiddeldInkomenPerInkomensontvanger,GemiddeldInkomenPerInwoner,k_40PersonenMetLaagsteInkomen,k_20PersonenMetHoogsteInkomen,k_20HuishoudensMetHoogsteInkomen,HuishoudensMetEenLaagInkomen,HuishOnderOfRondSociaalMinimum,BedrijfsvestigingenTotaal,PersonenautoSTotaal,PersonenautoSJongerDan6Jaar,PersonenautoS6JaarEnOuder,PersonenautoSBrandstofBenzine,PersonenautoSOverigeBrandstof,PersonenautoSPerHuishouden,PersonenautoSNaarOppervlakte,Motorfietsen,MateVanStedelijkheid,Omgevingsadressendichtheid,attributes.TELJAAR,attributes.AANTAL,attributes.AANTAL_SUMMED,Zon_atlas
0,140000,Buurt     ,2710,1465,1240,4.0,48.0,31.0,11.0,6.0,85.0,8.0,6.0,1.0,15.0,12.0,6.0,2.0,2060,84.0,13.0,3.0,1.2,10395.0,1143,184.0,16.0,84.0,83.0,15.0,72.0,16.0,56.0,99.0,1.0,2650.0,2350.0,1500.0,2800.0,2150.0,3150.0,2500.0,3350.0,2450.0,2650.0,3420.0,2250.0,1550.0,1900.0,1600.0,21.7,14.9,61.0,11.0,10.0,61.0,16.0,515.0,430,110,320,330,100,0.2,1650.0,50,1,6041,2013,55.0,55.0,1.3
1,140000,Buurt     ,2770,1495,1275,3.0,50.0,30.0,11.0,6.0,85.0,8.0,5.0,1.0,16.0,11.0,3.0,2.0,2270,85.0,12.0,3.0,1.2,10633.0,1159,173.0,16.0,84.0,83.0,12.0,76.0,16.0,61.0,99.0,1.0,2500.0,2350.0,1150.0,2900.0,1650.0,3900.0,1850.0,3350.0,2450.0,2650.0,3420.0,2050.0,1050.0,1250.0,2300.0,17.1,16.2,71.1,8.6,4.0,22.9,18.0,490.0,415,105,310,320,95,0.2,1585.0,35,1,6174,2014,49.0,104.0,1.3
2,140000,Buurt     ,4385,2325,2055,125.0,2135.0,1405.0,480.0,235.0,3805.0,320.0,200.0,55.0,680.0,420.0,5.0,2.0,3585,3020.0,465.0,95.0,1.2,11841.0,1970,164.0,16.0,84.0,89.0,14.0,79.0,19.0,60.0,98.0,2.0,2440.0,2190.0,1210.0,3140.0,1790.0,3050.0,1740.0,3350.0,2450.0,2650.0,3420.0,2260.0,1230.0,1300.0,3900.0,19.9,18.6,65.6,10.4,4.9,19.2,15.9,810.0,695,155,535,495,195,0.2,1872.0,80,1,6009,2015,133.0,237.0,1.3
3,140000,Buurt     ,4380,2320,2055,120.0,2095.0,1435.0,490.0,235.0,3820.0,320.0,190.0,50.0,685.0,405.0,4.0,1.0,3565,2990.0,480.0,95.0,1.2,11807.0,2050,162.0,15.0,85.0,88.0,13.0,81.0,18.0,62.0,98.0,2.0,2370.0,2120.0,1200.0,3160.0,1880.0,3210.0,1970.0,3350.0,2450.0,2650.0,3420.0,2250.0,1260.0,1310.0,3900.0,19.9,18.6,65.6,10.4,4.9,19.2,15.9,825.0,675,150,525,490,185,0.2,1825.0,80,1,6129,2016,482.0,719.0,1.3
4,140001,Buurt     ,5995,3240,2750,3.0,45.0,33.0,13.0,6.0,85.0,8.0,5.0,2.0,15.0,9.0,5.0,4.0,4880,83.0,14.0,3.0,1.2,10824.0,3198,174.0,12.0,88.0,87.0,17.0,71.0,28.0,43.0,99.0,1.0,2550.0,2150.0,1400.0,3100.0,2100.0,2600.0,2200.0,3350.0,2450.0,2650.0,3420.0,2100.0,1350.0,1650.0,4000.0,23.9,17.1,59.0,13.0,9.0,68.0,22.0,1120.0,1080,285,800,830,255,0.2,1950.0,115,1,5837,2013,18.0,18.0,1.5333333333333334
5,140001,Buurt     ,6230,3380,2855,3.0,45.0,33.0,13.0,6.0,85.0,8.0,5.0,2.0,15.0,9.0,3.0,5.0,5040,82.0,15.0,3.0,1.2,11256.0,3266,165.0,11.0,89.0,87.0,15.0,77.0,28.0,49.0,99.0,1.0,2300.0,2100.0,1050.0,3150.0,1600.0,2600.0,1600.0,3350.0,2450.0,2650.0,3420.0,1950.0,1000.0,1150.0,5300.0,19.1,18.1,67.3,10.0,5.0,25.8,20.3,1130.0,1065,280,785,805,260,0.2,1921.0,115,1,5953,2014,60.0,78.0,1.5333333333333334
6,140001,Buurt     ,6410,3435,2975,155.0,3025.0,2035.0,805.0,390.0,5525.0,500.0,290.0,90.0,980.0,610.0,3.0,5.0,5120,4260.0,700.0,160.0,1.2,11652.0,3266,159.0,11.0,89.0,90.0,15.0,79.0,28.0,51.0,99.0,1.0,2390.0,2060.0,1140.0,3230.0,1680.0,4020.0,1740.0,3350.0,2450.0,2650.0,3420.0,2090.0,1150.0,1220.0,5600.0,21.1,19.8,63.7,11.1,5.2,18.9,15.7,1170.0,1710,675,1035,840,870,0.3,3104.0,175,1,5743,2015,30.0,108.0,1.5333333333333334
7,140001,Buurt     ,6530,3495,3035,165.0,3005.0,2170.0,785.0,400.0,5640.0,500.0,300.0,80.0,975.0,645.0,4.0,6.0,5195,4315.0,715.0,165.0,1.2,11854.0,3356,158.0,11.0,89.0,89.0,14.0,80.0,26.0,54.0,99.0,1.0,2210.0,2040.0,1170.0,3090.0,1820.0,3770.0,2130.0,3350.0,2450.0,2650.0,3420.0,2050.0,1180.0,1250.0,5600.0,21.1,19.8,63.7,11.1,5.2,18.9,15.7,1190.0,1750,675,1075,820,930,0.3,3178.0,180,1,5844,2016,96.0,204.0,1.5333333333333334
8,140002,Buurt     ,2810,1455,1355,4.0,41.0,33.0,17.0,6.0,83.0,10.0,6.0,2.0,15.0,10.0,6.0,2.0,2235,80.0,14.0,5.0,1.3,13288.0,1617,150.0,22.0,78.0,89.0,17.0,72.0,44.0,28.0,98.0,2.0,2400.0,2150.0,1350.0,2650.0,1700.0,2450.0,1800.0,3350.0,2450.0,2650.0,3420.0,2100.0,1400.0,1450.0,2000.0,22.4,16.6,60.0,9.0,8.0,69.0,23.0,315.0,580,115,465,465,115,0.3,2742.0,65,1,5523,2013,235.0,235.0,1.5
9,140002,Buurt     ,2885,1495,1385,3.0,40.0,34.0,17.0,6.0,83.0,10.0,6.0,2.0,15.0,10.0,4.0,3.0,2265,79.0,15.0,5.0,1.3,13638.0,1634,142.0,21.0,79.0,89.0,16.0,79.0,43.0,35.0,98.0,2.0,2150.0,2050.0,1050.0,2450.0,1250.0,2600.0,1350.0,3350.0,2450.0,2650.0,3420.0,1950.0,1000.0,1100.0,2500.0,18.5,17.5,65.0,8.1,4.3,26.1,19.7,315.0,575,95,480,455,125,0.3,2728.0,60,1,5640,2014,57.0,292.0,1.5
10,140002,Buurt     ,3900,2010,1890,115.0,1635.0,1340.0,555.0,250.0,3260.0,395.0,185.0,55.0,575.0,410.0,5.0,3.0,3080,2460.0,475.0,145.0,1.3,14591.0,2128,135.0,18.0,82.0,93.0,16.0,80.0,41.0,39.0,90.0,10.0,2230.0,2170.0,1070.0,2430.0,1360.0,2780.0,1480.0,2170.0,1280.0,2650.0,3420.0,2180.0,1140.0,1110.0,3500.0,21.0,19.7,60.2,10.7,4.9,19.2,16.0,410.0,760,150,610,585,180,0.2,2846.0,80,1,5431,2015,6.0,298.0,1.5
11,140002,Buurt     ,3885,2015,1870,110.0,1620.0,1345.0,555.0,255.0,3265.0,380.0,190.0,50.0,580.0,455.0,5.0,3.0,3045,2405.0,510.0,130.0,1.3,14494.0,2182,135.0,17.0,83.0,93.0,15.0,81.0,40.0,41.0,90.0,10.0,2160.0,2120.0,1010.0,2290.0,1430.0,2770.0,1600.0,2270.0,1740.0,2650.0,3420.0,2090.0,1070.0,1080.0,3500.0,21.0,19.7,60.2,10.7,4.9,19.2,16.0,405.0,780,165,615,605,175,0.3,2908.0,75,1,5526,2016,134.0,432.0,1.5
12,140003,Buurt     ,1475,800,670,2.0,45.0,36.0,12.0,5.0,85.0,9.0,4.0,1.0,13.0,7.0,4.0,2.0,1200,82.0,16.0,2.0,1.2,13733.0,843,180.0,16.0,84.0,85.0,19.0,70.0,22.0,47.0,98.0,2.0,2500.0,2050.0,1350.0,3200.0,2250.0,2770.0,1600.0,2270.0,1740.0,2650.0,3420.0,2100.0,1300.0,1700.0,1000.0,23.3,16.9,61.0,13.0,11.0,64.0,22.0,300.0,265,70,200,185,80,0.2,2466.0,35,1,6219,2013,8.0,8.0,2.0
